Vintage,State,Weather_Year,WACC_Pct,Status,Solve_Time_Sec,Optimality_Gap_Pct,N_Variables,N_Constraints,Solar_GW,Wind_GW,BESS_Power_GW,BESS_Energy_GWh,Landed_LCOE_INR_kWh,Achieved_RPO_Pct,Grid_Share_Pct,Curtailment_GWh,Total_Cost_Billion_INR,BESS_Replace_Years,Throughput_Penalty_INR_MWh
2029-30,RJ,2022,10.0,Optimal,28.441490411758423,0.0,70085,70084,2.5906773488710853,0.8764724576271188,2.0,4.0,9.4006346732898,83.8251795841065,7.935727514587504,0.0,61.582805693947606,7,0.0
2029-30,RJ,2022,10.0,Optimal,19.044535875320435,0.0,70085,70084,2.592093665649521,0.875767697396807,2.0,4.0,9.478334628268245,83.82364643212964,7.9372363005660125,0.0,62.091811883015005,7,400.0
2029-30,RJ,2022,10.0,Optimal,19.749940633773804,0.0,70085,70084,2.592093665649521,0.875767697396807,2.0,4.0,9.556033645861966,83.82364643212964,7.9372363005660125,0.0,62.60081193135007,7,800.0
2029-30,RJ,2022,10.0,Optimal,11.400716781616211,0.0,70085,70084,2.5906773488710853,0.8764724576271188,2.0,4.0,9.368378445543401,83.8251795841065,7.935727514587504,0.0,61.37149772647918,10,0.0
2029-30,RJ,2022,10.0,Optimal,12.947248935699463,0.0,70085,70084,2.592093665649521,0.875767697396807,2.0,4.0,9.446078400521847,83.82364643212964,7.9372363005660125,0.0,61.880503915546576,10,400.0
2029-30,RJ,2022,10.0,Optimal,12.26872706413269,0.0,70085,70084,2.592093665649521,0.875767697396807,2.0,4.0,9.52377741811557,83.82364643212964,7.9372363005660125,0.0,62.389503963881644,10,800.0
2029-30,RJ,2022,10.0,Optimal,10.984884023666382,0.0,70085,70084,2.5906773488710853,0.8764724576271188,2.0,4.0,9.344143864216282,83.8251795841065,7.935727514587504,0.0,61.21273892297172,13,0.0
2029-30,RJ,2022,10.0,Optimal,10.627827644348145,0.0,70085,70084,2.592093665649521,0.875767697396807,2.0,4.0,9.421843819194725,83.82364643212964,7.9372363005660125,0.0,61.721745112039116,13,400.0
2029-30,RJ,2022,10.0,Optimal,15.303637504577637,0.0,70085,70084,2.592093665649521,0.875767697396807,2.0,4.0,9.499542836788446,83.82364643212964,7.9372363005660125,0.0,62.23074516037417,13,800.0
2029-30,RJ,2022,10.0,Optimal,18.754188060760498,0.0,70085,70084,3.3134286032493665,0.30471572965142946,2.0,8.0,4.761126286031834,96.83020603581832,7.435842475526506,0.0,31.18975740969166,7,0.0
