Vintage,State,Weather_Year,WACC_Pct,Status,Solve_Time_Sec,Optimality_Gap_Pct,N_Variables,N_Constraints,Solar_GW,Wind_GW,BESS_Power_GW,BESS_Energy_GWh,Landed_LCOE_INR_kWh,Achieved_RPO_Pct,Grid_Share_Pct,Curtailment_GWh,Total_Cost_Billion_INR,CRF
2029-30,RJ,2022,8.0,Optimal,73.5790946483612,0.0,70085,70084,1.9502649102817022,1.4458958659120824,0.8020775239883935,3.208310095953574,3.553584409471119,93.11996551339865,8.46662237037601,0.0,23.279247179692543,0.09368
2029-30,RJ,2022,10.0,Optimal,60.377052307128906,0.0,70085,70084,2.0045472690148824,1.3697032548601917,0.8624744904743125,3.44989796189725,3.990820809279096,93.06818697293872,8.675892825327816,0.0,26.143547855922616,0.11017
2029-30,RJ,2022,12.0,Optimal,61.74683451652527,0.0,70085,70084,2.0300313311638094,1.3476603981028257,0.8779700511108864,3.5118802044435458,4.448883880239813,93.1232861263835,8.665281632657507,0.0,29.144282388740596,0.1275
2029-30,GJ,2022,8.0,Optimal,59.4013786315918,0.0,70085,70084,1.574865696185599,1.675871519513056,0.41495341721447426,1.659813668857897,3.257928088760079,93.98836674906596,6.871420321660354,0.0,21.342426275220177,0.09368
2029-30,GJ,2022,10.0,Optimal,60.79779124259949,0.0,70085,70084,1.535192002657644,1.680587245199748,0.41129331962104576,1.645173278484183,3.6720101829547587,93.67490756195524,7.180638850063464,0.0,24.05504494772199,0.11017
2029-30,GJ,2022,12.0,Optimal,56.6026771068573,0.0,70085,70084,1.498038568391456,1.6827999815273764,0.40895441814015493,1.6358176725606197,4.104179517639985,93.32338157899922,7.530264398370182,0.0,26.88615168569813,0.1275
2029-30,TN,2022,8.0,Optimal,57.58676290512085,0.0,70085,70084,1.270034488669139,1.5387318810355313,0.3949556242986657,1.5798224971946628,3.1868117061793666,96.41184686861267,4.655769430671088,0.0,18.300207840344555,0.09368
2029-30,TN,2022,10.0,Optimal,55.95047950744629,0.0,70085,70084,1.259812238830363,1.533817573256275,0.39264931483981214,1.5705972593592485,3.6074765818101997,96.17336313206428,4.878508477240292,0.0,20.715868182074093,0.11017
2029-30,TN,2022,12.0,Optimal,62.17307138442993,0.0,70085,70084,1.249988420643744,1.5264454000926648,0.3905949116631051,1.5623796466524205,4.046959531462561,95.88012359454939,5.148732558558917,0.0,23.239590969125143,0.1275
2029-30,KA,2022,8.0,Optimal,67.88661646842957,0.0,70085,70084,1.4623631470480642,1.4941392433570764,0.5911034409985938,2.364413763994375,3.452782948890251,95.5234046472508,5.771464851457303,0.0,19.827542829018643,0.09368
2029-30,KA,2022,10.0,Optimal,62.61590528488159,0.0,70085,70084,1.4898340814212903,1.4317565860457047,0.6414683069576456,2.5658732278305822,3.899434203022749,95.22096678949808,6.1510966221536245,0.0,22.392429473223537,0.11017
2029-30,KA,2022,12.0,Optimal,60.34512281417847,0.0,70085,70084,1.5259687356452252,1.3644776361594928,0.6936082115601694,2.7744328462406775,4.364111225502407,94.92551273064706,6.543137453558247,0.0,25.06082876192992,0.1275
